Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.54541778564453,35.42468502551059,26.900113742286507,29.051476675652747,855215656
1,2007-10-08,30.87933349609375,33.64537091874948,30.685224759991605,33.64537091874948,126671715
2,2007-10-09,32.982181549072266,33.27334257330901,29.229427270218363,30.895519497505923,116725709
3,2007-10-10,33.28950500488281,33.968883374439955,32.99834410019465,33.83947682149577,67931378
4,2007-10-11,37.009910583496094,38.82158501909971,32.99834858261307,38.82158501909971,106320954
5,2007-10-12,36.76726531982422,38.14219575573812,35.90995663148673,36.23346967523118,99410791
6,2007-10-15,37.252540588378906,37.753988515704634,36.9290274951083,37.52752759524435,41814972
7,2007-10-16,41.05382537841797,41.70085604656874,37.04226331862107,37.30107207553914,138614496
8,2007-10-17,44.2566032409668,45.291842522417625,34.324747177407374,36.88050196948446,204876259
9,2007-10-18,42.7037467956543,48.349053311776125,40.87589828072584,44.968338963370854,146617799
10,2007-10-19,42.55815505981445,44.288950833134855,40.43914185377529,41.73319411226879,110266491
11,2007-10-22,41.992008209228516,43.30223439737445,40.600899365049735,41.7008473216324,72253405
12,2007-10-23,44.98452377319336,45.388915290314706,43.02726619756877,43.02726619756877,74594921
13,2007-10-24,44.2889518737793,46.424139028048785,43.787503979074636,45.938865031784616,63055170
14,2007-10-25,44.19190216064453,45.22714590719954,39.03186610466896,42.78461920102142,34522489
15,2007-10-26,45.518314361572266,46.24621900705005,43.75516579846587,44.96834020759551,62370025
16,2007-10-29,46.440303802490234,47.55642543755542,46.035912541658796,46.26237340289481,43657697
17,2007-10-30,47.475555419921875,48.75342939303811,45.680055277649046,47.07116408894963,79921711
18,2007-10-31,48.462276458740234,49.52987238031799,47.556441484002285,47.718198042914594,44655368
19,2007-11-01,47.37851333618164,50.03132303264523,46.99030017265182,49.659283772122784,50632492
20,2007-11-02,48.235801696777344,48.526966929713936,45.29183229072535,45.66387577993851,32001693
21,2007-11-05,49.2225227355957,50.30629232830092,47.91229225321719,48.203457507919005,38833135
22,2007-11-06,49.86955261230469,53.02380508184453,49.1901742797415,50.07983523268864,81880281
23,2007-11-07,49.14166259765625,51.50330697331868,48.041718701976876,50.791580635139404,33593141
24,2007-11-08,48.30051040649414,49.610740908918125,47.23291908267604,47.87994519115407,27990521
25,2007-11-12,49.46516799926758,50.33865517252419,45.56683229690677,46.844710867425235,35153735
26,2007-11-13,50.64599609375,51.665061659844895,48.70491715340619,50.306309034361036,43830531
27,2007-11-14,49.9827880859375,52.24737982998339,49.72397496814729,51.53564924096946,36738579
28,2007-11-15,50.823917388916016,51.71357833230089,49.86955207629606,50.92096955484181,29242252
29,2007-11-16,50.46806335449219,51.616533254301935,49.88573706568886,50.59746773380588,18895294
30,2007-11-19,52.295894622802734,54.18844676342025,51.22830335780125,51.61651636874434,40716718
31,2007-11-20,51.48713302612305,53.54144252261235,50.85628059270577,52.08563326512156,26342171
32,2007-11-21,47.475555419921875,52.10179049107365,46.32708140720464,51.794455712290805,26814499
33,2007-11-22,45.84182357788086,48.88285067778158,43.85221859634046,46.97411959526963,34096185
34,2007-11-23,48.88283157348633,49.17399241515265,46.13296650373989,48.85047939376203,27664090
35,2007-11-26,49.27105712890625,50.694513908374624,48.88284403701158,50.694513908374624,20159123
36,2007-11-27,48.05788803100586,50.11219733371561,47.55644442256397,50.11219733371561,20573198
37,2007-11-28,47.34614944458008,49.33575841932562,47.02263636093716,49.10929750560477,16435311
38,2007-11-29,46.06827926635742,48.78578851962412,45.469779133762835,48.52697978614249,25530967
39,2007-11-30,47.847591400146484,48.13875226159133,46.262378365234376,46.90940445196801,18437721
40,2007-12-03,48.526981353759766,49.12548150568832,48.057885572752305,48.42992478462329,16851227
41,2007-12-04,47.896114349365234,49.254870797890526,47.540249147329924,48.850479520106354,14008727
42,2007-12-05,49.80485916137695,49.98279402373219,47.87995858302238,47.97701077126861,27725290
43,2007-12-06,48.88283157348633,51.64886615120565,48.25197942660415,50.88860967335246,24104710
44,2007-12-07,48.67256546020508,49.88573981038399,47.79908256083311,49.19018739386703,11742386
45,2007-12-10,48.72107696533203,49.319572567934785,48.0902247938153,49.141642154392294,8330010
46,2007-12-11,48.4946174621582,49.4328044098584,48.25198267975678,49.157817445551494,11685950
47,2007-12-12,48.462276458740234,48.89902004538898,47.556441484002285,47.87995460182691,16342131
48,2007-12-13,47.65349197387695,49.17400532889004,47.475561520555715,48.52697911619125,14620172
49,2007-12-14,47.184383392333984,47.92846596749256,46.94174862850696,47.49172251501868,10991851
50,2007-12-17,44.33747482299805,47.71818794395025,43.67427043906008,47.45937487170864,19355678
51,2007-12-18,44.143367767333984,45.6153504418094,42.7684372561261,43.83602860377565,21607783
52,2007-12-19,43.3345947265625,45.95505198327339,42.96255550093888,45.566834468231896,19526912
53,2007-12-20,42.897857666015625,44.256614788101054,42.70374887887079,43.900749409656925,17105204
54,2007-12-24,44.20808029174805,44.90363262464139,43.18901044977422,43.544875760627974,16711519
55,2007-12-26,45.550662994384766,46.10063710535007,44.45071916038211,44.45071916038211,20930094
